quantum,uintr_exe,uintr,signal_exe,signal,concord_exe,concord,concordf_exe,concordf,concordfl_exe,concordfl
100000000,2.473973248,0,2.473973248,0,2.473973248,0,,,2.473973248,0
1000,2.4746944,2474,2.470254336,2469,2.511873792,2511,,,3.237671936,3237
100,2.474267136,24712,2.527863808,25247,2.51827968,25151,,,3.229262848,32254
50,2.48314624,49472,2.619521024,52188,2.5198656,50203,,,3.232158464,64398
25,2.490309632,99223,2.758311168,109900,2.526629376,100664,,,3.241460992,129154
20,2.495102976,123319,2.837052416,140220,2.529792,125023,,,3.245033984,160389
15,2.503853568,165690,2.982750976,197391,2.534649344,167722,,,3.251580928,215187
10,2.53693568,247576,3.295825664,321640,2.540081152,247881,,,3.2683712,318973
5,2.607127296,508785,4.938679808,963710,2.566463488,500846,,,3.31899904,647787
3,2.735700224,889194,20.78884198,6758266,2.609457152,848268,,,3.37900672,1098634
2,2.904783616,1416402,,,2.657294592,1295738,,,3.464675584,1689610
1,3.670519808,3579228,,,2.798478336,2728622,,,3.743039744,3650094
