timeslice,execution_time,#preemptions,overhead
baseline,7.356961536,0,
10ms,8.058731776,772,909.0288082901556
1ms,8.171006208,7745,105.10583240800511
100us,8.383754752,79310,12.946579447736726
50us,8.435534336,159183,6.775678307356941
20us,8.650668544,405264,3.1922574124521303
10us,9.069099008,840403,2.0372814851922234
5us,9.822618368,1824857,1.351150710439229
4us,10.008681728,2324657,1.1406930966589912
3us,10.907383552,3385902,1.0485897158275699
2us,12.766663936,5967000,0.9066033852857384
1us,20.470646528,19199389,0.6830261625513188
